Month,Price,
Oct-87,99.52,
Nov-87,98.29,
Dec-87,96.34,
Jan-88,94.28,
Feb-88,93.35,
Mar-88,99.78,
Apr-88,103.11,
May-88,103.84,
Jun-88,98.23,
Jul-88,93.7,
Aug-88,97.44,
Sep-88,93.03,
Oct-88,90.35,
Nov-88,88.02,
Dec-88,88.79,
Jan-89,91.4,
Feb-89,93.56,
Mar-89,98.04,
Apr-89,95.03,
May-89,96.33,
Jun-89,98.9,
Jul-89,102.88,
Aug-89,104.15,
Sep-89,105.67,
Oct-89,103.98,
Nov-89,101.32,
Dec-89,97.96,
Jan-90,102.18,
Feb-90,102.52,
Mar-90,104.24,
Apr-90,107.94,
May-90,106.85,
Jun-90,105.5,
Jul-90,105.62,
Aug-90,101.82,
Sep-90,98.97,
Oct-90,97.8,
Nov-90,96.65,
Dec-90,96.52,
Jan-91,94.1,
Feb-91,92.42,
Mar-91,91.63,
Apr-91,97.13,
May-91,99.27,
Jun-91,99.67,
Jul-91,96.89,
Aug-91,93.09,
Sep-91,92.02,
Oct-91,91.2,
Nov-91,90.22,
Dec-91,88.75,
Jan-92,87.01,
Feb-92,86.86,
Mar-92,88.13,
Apr-92,94.44,
May-92,95.54,
Jun-92,94.15,
Jul-92,94.42,
Aug-92,91.44,
Sep-92,93.53,
Oct-92,95.51,
Nov-92,95.36,
Dec-92,95.91,
Jan-93,95.64,
Feb-93,100.08,
Mar-93,102.46,
Apr-93,107.31,
May-93,111.33,
Jun-93,108.25,
Jul-93,109.44,
Aug-93,107.08,
Sep-93,106.7,
Oct-93,108.24,
Nov-93,106.44,
Dec-93,104.97,
Jan-94,104.92,
Feb-94,107.39,
Mar-94,109.02,
Apr-94,116.51,
May-94,117.85,
Jun-94,121.39,
Jul-94,119.62,
Aug-94,120.47,
Sep-94,120.38,
Oct-94,118.47,
Nov-94,119.02,
Dec-94,120.4,
Jan-95,120.88,
Feb-95,123.39,
Mar-95,129.73,
Apr-95,132.15,
May-95,130.63,
Jun-95,125.36,
Jul-95,118.36,
Aug-95,113.43,
Sep-95,113.71,
Oct-95,111.3,
Nov-95,112.75,
Dec-95,109.22,
Jan-96,108.9,
Feb-96,108.61,
Mar-96,111.24,
Apr-96,113.44,
May-96,116.6,
Jun-96,114.81,
Jul-96,116.52,
Aug-96,120.23,
Sep-96,122.94,
Oct-96,122.91,
Nov-96,118.05,
Dec-96,115.23,
Jan-97,116.62,
Feb-97,118.85,
Mar-97,120.72,
Apr-97,117.84,
May-97,115.93,
Jun-97,110.28,
Jul-97,109.83,
Aug-97,108.43,
Sep-97,107.67,
Oct-97,105.47,
Nov-97,107.25,
Dec-97,99.79,
Jan-98,90.61,
Feb-98,97.48,
Mar-98,99.18,
Apr-98,99.25,
May-98,99.44,
Jun-98,97.68,
Jul-98,94.16,
Aug-98,94.46,
Sep-98,92.49,
Oct-98,87.79,
Nov-98,87.5,
Dec-98,88.09,
Jan-99,89.95,
Feb-99,90.01,
Mar-99,92.18,
Apr-99,89.59,
May-99,90.76,
Jun-99,90.75,
Jul-99,90.84,
Aug-99,92.85,
Sep-99,97.12,
Oct-99,99.31,
Nov-99,98.21,
Dec-99,97.43,
Jan-00,95.77,
Feb-00,97.93,
Mar-00,100.14,
Apr-00,99.68,
May-00,101.12,
Jun-00,97.97,
Jul-00,97.73,
Aug-00,96.33,
Sep-00,100.12,
Oct-00,98.97,
Nov-00,100.12,
Dec-00,95.01,
1-Jan,99.23,
1-Feb,98.89,
1-Mar,99.78,
1-Apr,105.52,
1-May,104.82,
1-Jun,103.57,
1-Jul,96.83,
1-Aug,90.92,
1-Sep,87.67,
1-Oct,84.05,
1-Nov,86.05,
1-Dec,83.34,
2-Jan,83.16,
2-Feb,87.36,
2-Mar,89.78,
2-Apr,92.17,
2-May,92.57,
2-Jun,96.17,
2-Jul,97.81,
2-Aug,99.09,
2-Sep,102.43,
2-Oct,102.38,
2-Nov,100.05,
2-Dec,95.32,
3-Jan,95.89,
3-Feb,96.02,
3-Mar,94.17,
3-Apr,95.67,
3-May,90.74,
3-Jun,91.26,
3-Jul,93.02,
3-Aug,95.38,
3-Sep,97.19,
3-Oct,98.95,
3-Nov,99.16,
3-Dec,97.6,
4-Jan,100.16,
4-Feb,100.92,
4-Mar,99.37,
4-Apr,96.92,
4-May,99.86,
4-Jun,100.66,
4-Jul,100.93,
4-Aug,101.21,
4-Sep,100.21,
4-Oct,99.59,
4-Nov,97.48,
4-Dec,94.18,
5-Jan,97.9,
5-Feb,97.41,
5-Mar,101.49,
5-Apr,98.65,
5-May,99.25,
5-Jun,99.6,
5-Jul,99.42,
5-Aug,101.42,
5-Sep,101.54,
5-Oct,101.55,
5-Nov,101.1,
5-Dec,100.67,
6-Jan,102.09,
6-Feb,105.07,
6-Mar,105.04,
6-Apr,105.38,
6-May,109.4,
6-Jun,111.98,
6-Jul,111.42,
6-Aug,111.44,
6-Sep,109.43,
6-Oct,109.93,
6-Nov,110.03,
6-Dec,113.52,
7-Jan,116.1,
7-Feb,118.66,
7-Mar,116.7,
7-Apr,118.45,
7-May,118.7,
7-Jun,115.07,
7-Jul,110.39,
7-Aug,105.62,
7-Sep,112.27,
7-Oct,111.16,
7-Nov,113.67,
7-Dec,113.18,
8-Jan,115.25,
8-Feb,116.07,
8-Mar,117.44,
8-Apr,117.32,
8-May,118.39,
8-Jun,118.78,
8-Jul,121.76,
8-Aug,117.99,
8-Sep,116.17,
8-Oct,109.72,
8-Nov,104.19,
8-Dec,87.32,
9-Jan,89.66,
9-Feb,87.17,
9-Mar,81.45,
9-Apr,82.1,
9-May,85.45,
9-Jun,88.66,
9-Jul,93.14,
9-Aug,100.91,
9-Sep,100.32,
9-Oct,100.11,
9-Nov,107.18,
9-Dec,111.01,
10-Jan,112.6,
10-Feb,114.72,
10-Mar,117.59,
10-Apr,122.91,
10-May,121.68,
10-Jun,122.64,
10-Jul,120.88,
10-Aug,122.54,
10-Sep,125.43,
10-Oct,132.99,
10-Nov,140.7,
10-Dec,146.61,
11-Jan,155.78,
11-Feb,159.2,
11-Mar,169.8,
11-Apr,171.37,
11-May,161.31,
11-Jun,161.12,
11-Jul,158.56,
11-Aug,151.03,
11-Sep,149.32,
11-Oct,140.45,
11-Nov,134.54,
11-Dec,129.57,
12-Jan,131.86,
12-Feb,137.05,
12-Mar,137.83,
12-Apr,139.74,
12-May,137.7,
12-Jun,132.45,
12-Jul,132.06,
12-Aug,130.7,
12-Sep,131.35,
12-Oct,132.03,
