Date,SPGlobal,SPUSReit
10/5/2007,264.381,295.1
10/12/2007,265.755,288.68
10/19/2007,256.21,268.35
10/26/2007,264.609,275.34
11/2/2007,263.91,263.18
11/9/2007,255.059,254.56
11/16/2007,245.677,254.71
11/23/2007,240.452,247.9
11/30/2007,251.043,252.56
12/7/2007,255.195,259.19
12/14/2007,238.739,239.18
12/21/2007,232.281,241.6
12/28/2007,236.165,235.52
1/4/2008,234.069,219.27
1/11/2008,222.006,220.45
1/18/2008,216.83,211.82
1/25/2008,222.598,230.33
2/1/2008,221.968,244.75
2/8/2008,212.31,226.81
2/15/2008,217.491,227.66
2/22/2008,212.623,228.73
2/29/2008,218.954,226.15
3/7/2008,205.037,221.5
3/14/2008,201.451,226.71
3/21/2008,196.15,244.71
3/28/2008,209.473,238.54
4/4/2008,219.382,253.58
4/11/2008,214.415,243.1
4/18/2008,214.744,254.96
4/25/2008,218.199,261.31
5/2/2008,224.381,258.96
5/9/2008,218.013,250.07
5/16/2008,220.493,259.72
5/23/2008,213.508,247.35
5/30/2008,211.487,252.67
6/6/2008,208.858,246.32
6/13/2008,193.48,244.19
6/20/2008,193.57,235.59
6/27/2008,184.066,223.56
7/4/2008,179.369,218.4
7/11/2008,179.067,216.52
7/18/2008,176.006,224.68
7/25/2008,182.837,227.43
8/1/2008,180.661,229.55
8/8/2008,175.321,238.34
8/15/2008,170.42,237.39
8/22/2008,166.843,232.3
8/29/2008,171.98,233.78
9/5/2008,159.583,233.02
9/12/2008,164.645,239.37
9/19/2008,159.203,248.33
9/26/2008,153.878,235.2
10/3/2008,139.591,201.23
10/10/2008,109.213,181.55
10/17/2008,114.082,160.73
10/24/2008,103.377,132.65
10/31/2008,108.071,157.57
11/7/2008,109.316,145.58
11/14/2008,99.878,118.52
11/21/2008,88.863,95.84
11/28/2008,101.138,118.91
12/5/2008,93.91,123.18
12/12/2008,101.351,126.03
12/19/2008,109.815,136.14
12/26/2008,107.44,133.85
1/2/2009,110.986,133.95
1/9/2009,111.339,125.17
1/16/2009,99.936,123.31
1/23/2009,95.205,117.59
1/30/2009,98.214,113.55
2/6/2009,95.643,117.55
2/13/2009,93.953,101.13
2/20/2009,84.794,96.82
2/27/2009,84.27,89.1
3/6/2009,78.156,78.46
3/13/2009,83.667,95.21
3/20/2009,89.811,85.14
3/27/2009,96.777,90.44
4/3/2009,101.22,105.97
4/10/2009,102.92,111.17
4/17/2009,106.418,117.12
4/24/2009,104.476,121.08
5/1/2009,106.21,114.26
5/8/2009,114.993,125.44
5/15/2009,113.039,109.71
5/22/2009,116.87,113.2
5/29/2009,126.818,121.6
6/5/2009,128.147,126.91
6/12/2009,130.049,124.56
6/19/2009,124.785,116.88
6/26/2009,130.062,116.19
7/3/2009,128.3,111.39
7/10/2009,123.156,107.16
7/17/2009,130.308,114.98
7/24/2009,135.27,124.52
7/31/2009,139.568,129.12
8/7/2009,139.747,150.38
8/14/2009,143.979,142.75
8/21/2009,141.61,144.65
8/28/2009,145.467,148.78
9/4/2009,144.631,140.14
9/11/2009,153.348,149.53
9/18/2009,153.797,162.57
9/25/2009,149.736,153.18
10/2/2009,146.375,147.06
10/9/2009,153.778,155.05
10/16/2009,155.398,152.91
10/23/2009,158.029,153.09
10/30/2009,151.084,148.1
11/6/2009,150.204,147.8
11/13/2009,153.758,156.83
11/20/2009,150.187,155.93
11/27/2009,146.99,151.32
12/4/2009,154.008,165.06
12/11/2009,151.053,162.12
12/18/2009,147.444,164.7
12/25/2009,149.085,172.88
1/1/2010,152.336,167.72
1/8/2010,155.099,167.14
1/15/2010,154.216,167.08
1/22/2010,149.078,159.68
1/29/2010,143.904,158.47
2/5/2010,140.952,157.8
2/12/2010,142.782,156.59
2/19/2010,141.515,165.23
2/26/2010,145.58,166.63
3/5/2010,149.15,173.13
3/12/2010,151.001,179.34
3/19/2010,151.565,182.8
3/26/2010,150.531,185.06
4/2/2010,153.741,183.34
4/9/2010,155.201,190.8
4/16/2010,155.454,184.28
4/23/2010,151.728,197.29
4/30/2010,151.937,195.1
5/7/2010,139.676,183.02
5/14/2010,141.817,189.88
5/21/2010,133.256,180.15
5/28/2010,135.859,184.15
6/4/2010,135.126,172.94
6/11/2010,135.62,186.24
6/18/2010,139.65,190.45
6/25/2010,139.48,184.61
7/2/2010,135.78,169.84
7/9/2010,141.07,179.09
7/16/2010,142.49,175.71
7/23/2010,146.53,186.8
7/30/2010,148.05,190.31
8/6/2010,152.36,192.68
8/13/2010,147.27,185.03
8/20/2010,147.97,184.07
8/27/2010,148.13,187.57
9/3/2010,153.27,198.69
9/10/2010,154.67,194.89
9/17/2010,156.84,198.21
9/24/2010,161.28,195.65
10/1/2010,165.08,195.91
10/8/2010,170.18,200.56
10/15/2010,173.21,203.22
10/22/2010,170.46,207.36
10/29/2010,169.29,203.69
11/5/2010,176.23,213.77
11/12/2010,169.93,202.25
11/19/2010,166.69,198.22
11/26/2010,161.93,200.26
12/3/2010,167.16,203.88
12/10/2010,166.53,201.53
12/17/2010,166.05,198.94
12/24/2010,169.74,203.88
12/31/2010,172.46,207.13
1/7/2011,173.23,205.76
1/14/2011,174.9,208.29
1/21/2011,172.55,207.48
1/28/2011,171.77,210.36
2/4/2011,173.56,212.61
2/11/2011,168.16,218.01
2/18/2011,172.27,218.78
2/25/2011,170.16,217.77
3/4/2011,173.79,215.03
3/11/2011,169.48,215.02
3/18/2011,165.11,212.04
3/25/2011,170.23,213.35
4/1/2011,172.14,218.6
4/8/2011,174.88,214.53
4/15/2011,173.69,220.12
4/22/2011,176.14,223.93
4/29/2011,178.01,230.65
5/6/2011,174.95,225.07
5/13/2011,173.13,225
5/20/2011,174.07,225.56
5/27/2011,174.33,229.35
6/3/2011,174.75,225.37
6/10/2011,171.55,215.9
6/17/2011,168.71,220.12
6/24/2011,168.74,219.04
7/1/2011,173.49,228.53
7/8/2011,176.12,234.13
7/15/2011,171.68,228.94
7/22/2011,175.49,235.98
7/29/2011,174.36,227.74
8/5/2011,160.3,199.26
8/12/2011,155.58,203.75
8/19/2011,153.5,197.39
8/26/2011,154.53,204.34
9/2/2011,160.24,205.26
9/9/2011,154.27,203.86
9/16/2011,151.16,211.7
9/23/2011,138.91,192.98
9/30/2011,139.22,189.72
10/7/2011,141.28,185.73
10/14/2011,148.41,198.1
10/21/2011,146.88,205.61
10/28/2011,156.72,218.89
11/4/2011,150.75,214.47
11/11/2011,147.62,213.12
11/18/2011,140.94,205.98
11/25/2011,134.62,194.25
12/2/2011,144.97,205.94
12/9/2011,141.27,209.14
12/16/2011,137.63,209.38
12/23/2011,139.77,217.85
12/30/2011,139.51,216.5
1/6/2012,139.51,215.71
1/13/2012,142.88,217.87
1/20/2012,150.01,223.85
1/27/2012,152.79,230.93
2/3/2012,154.93,235.98
2/10/2012,155.76,230.93
2/17/2012,160.34,231.91
2/24/2012,162.03,229.68
3/2/2012,162.59,228.09
3/9/2012,161.42,228.23
3/16/2012,163.62,234.62
3/23/2012,159,233.84
3/30/2012,159.66,237.71
4/6/2012,158.31,234.71
4/13/2012,159,231.96
4/20/2012,160.21,238.89
4/27/2012,161.53,244.61
5/4/2012,160.44,243.03
5/11/2012,155.02,244.23
5/18/2012,147.61,227.2
5/25/2012,148.65,233
6/1/2012,147.5,226.58
6/8/2012,149.37,236.34
6/15/2012,152.83,236.74
6/22/2012,153.32,235.31
6/29/2012,158.73,244.53
7/6/2012,161.2,247.38
7/13/2012,160.13,248.97
7/20/2012,162.55,246.07
7/27/2012,163.57,248.27
8/3/2012,166.08,250.36
8/10/2012,167.08,244.46
8/17/2012,166.81,246.86
8/24/2012,166.8,246.64
8/31/2012,165.43,248.31
9/7/2012,169.57,251.94
9/14/2012,174.8,255.34
9/21/2012,173.34,246.72
9/28/2012,173.73,242.63
10/5/2012,175.76,243.19
10/12/2012,174.64,241.58
10/19/2012,177.64,244.51
10/26/2012,177.49,237.87
11/2/2012,179.66,242.56
11/9/2012,176.58,237.15
11/16/2012,175.15,232.22
11/23/2012,179.15,238.31
11/30/2012,181.63,238.78
12/6/2012,182.91,241.61
